baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	78.1564419074114	0.0464919648583571	0.398726851876804	0.116601038128031	0.907176215030744	0.933563098493305
A2M	875.587350754894	-0.346867606222045	0.720840197917589	-0.481199033050736	0.630375048033213	0.720368262215038
A4GALT	40.3779613565042	-2.25393040310822	0.619281630788354	-3.63958866378604	0.000273073901960114	0.000750989117095496
AAAS	880.849090108082	0.536053054658943	0.104989800452665	5.10576315363721	3.29462139848185e-07	1.42606406092589e-06
AACS	528.010754580645	0.780624881549684	0.210721580756165	3.70453220191518	0.000211781204150609	0.000593130977720166
AADAT	5.47985404192093	-2.02867364298508	0.801671729825203	-2.53055405038097	0.0113882537158209	0.0229918500218431
AAGAB	1043.00073082321	0.442249540670718	0.183018075541814	2.41642547798334	0.0156737342643361	0.0307268622631471
AAK1	4716.71079162523	-1.58042543646548	0.174318418412432	-9.06631353622223	1.23111826780588e-19	2.01484892734236e-18
AAMDC	89.6701621048497	-0.93066816973791	0.210523120622694	-4.42074090002628	9.83630594689033e-06	3.4276539055353e-05
AAMP	1452.65159998751	0.708530325198221	0.135904268608969	5.21345158949231	1.85358919335019e-07	8.33345241753972e-07
AAR2	599.421243832785	0.737825144604168	0.110428796752483	6.68145598161267	2.36579843996771e-11	1.68854963689373e-10
AARD	53.0800650036918	-0.604013166080318	0.596962125131834	-1.01181153820592	0.311628172090017	0.416645724589217
AARS1	2082.24615983398	1.58178476538945	0.191246082490906	8.27093943461384	1.3290755793296e-16	1.65030389379574e-15
AARS2	501.702681625196	0.231861833782227	0.14576621022496	1.59064184644985	0.111690201258345	0.176391397539718
AARSD1	280.436233774728	0.359359812328067	0.151961213151182	2.36481273659319	0.0180391896907462	0.034871915531009
AASDH	271.047279501169	-0.323163004360404	0.11754693653151	-2.74922523628487	0.0059736322147489	0.012789967093225
AASDHPPT	683.39481634812	0.373553018825436	0.188390217370841	1.98286845271858	0.047382125327118	0.0831372226952617
AASS	39.9601030933515	1.97089473005687	0.488085792628826	4.03800880874169	5.39068293663925e-05	0.000166123637719523
AATF	1527.75613836234	0.0911127419591979	0.140635108552824	0.647866261111997	0.517071454161272	0.622039785979012
AATK	22.5567699113013	1.39431959781826	0.541623202244547	2.57433505809951	0.0100432960624553	0.0205113248796664
ABAT	314.454516581991	2.96845905755871	0.220685743416863	13.4510685266672	3.03455278557565e-41	2.20496786896342e-39
ABCA1	1419.08475129769	-4.12864263716172	0.570225254906442	-7.24037141750081	4.47457637338321e-13	3.88431837280141e-12
ABCA10	15.3402849887892	1.63408450504149	0.649928816166883	2.51425150630942	0.0119285332135955	0.0239685480460096
ABCA13	12.2649843740415	-2.83583151144899	0.989618213467893	-2.86558136547574	0.0041624429012883	0.00919228103781059
ABCA2	11760.0433440744	-2.95065934875751	0.392322190881942	-7.52101058093199	5.43544499754137e-14	5.19861725998853e-13
ABCA3	740.380508050633	-1.66463494288545	0.217749445008385	-7.64472645531357	2.09389990785468e-14	2.10260774496348e-13
ABCA4	6.21230197930827	4.63584410770445	0.961961587257199	4.81915719828526	1.44165931240828e-06	5.70849980545745e-06
ABCA5	359.261156025089	0.137084194264592	0.352846290968204	0.388509664898094	0.697638903142173	0.774304687420721
ABCA6	14.5005339596712	-0.419166663106033	0.613772837680574	-0.682934527845919	0.494648214831563	0.601588820750203
ABCA8	25.8393856334119	-0.854424492313015	0.780230888876162	-1.09509185613469	0.273476396162725	0.374505892834306
ABCA9	7.93986006697586	0.213281827037405	0.463413002138389	0.460241352860688	0.645342991721857	0.732209806627235
ABCB1	193.145288939509	3.61225059223246	0.44863683751215	8.05161388945158	8.17093316966994e-16	9.40196452331156e-15
ABCB10	750.357262105084	0.054417339134746	0.153075252200126	0.355494035466964	0.722219512517442	0.793062005804328
ABCB4	7.31371678572154	0.330805455206541	0.698792580713751	0.473395774850177	0.635930843697965	0.724253290170493
ABCB6	287.06593215867	-1.22619377475617	0.282846367096815	-4.33519365068054	1.45631860678354e-05	4.92818467733239e-05
ABCB7	527.968252869085	0.219675384307898	0.217547139683564	1.00978291246407	0.312599308559813	0.417659500114605
ABCB8	722.556707231117	-1.2404970969016	0.183111693799672	-6.77453783076647	1.24804575325235e-11	9.20492391790211e-11
ABCB9	42.9031607097072	-0.120420465162342	0.394101736981341	-0.305556798822338	0.759942117667363	0.821172430066816
ABCC1	2041.40238670104	1.42397942235285	0.145094040682404	9.81418268907263	9.78275031944742e-23	2.07486846302334e-21
ABCC10	1212.28581106842	-1.74150114159889	0.146988350194363	-11.8478854908984	2.20689296900002e-32	9.56828319018103e-31
ABCC11	4.47197213609324	-0.65040660824704	0.887081433183002	-0.733198310681882	0.463437485547969	0.572052798716113
ABCC12	1.30530178957583	0.465963308761697	1.2038516107236	0.387060418917928	0.69871147928092	0.774947118035053
ABCC2	52.4114201338179	0.159696040648796	0.52045426858482	0.306839717316624	0.758965375481527	0.820496044095782
ABCC4	329.389606604803	-0.350959401224634	0.197247113927677	-1.77928789038362	0.0751925752716096	0.12473813221519
ABCC5	624.568090891313	-0.654922940354433	0.171933189862546	-3.80917111395432	0.000139433440093286	0.000402502821825295
ABCC8	1.23381169667039	-0.807374683871452	1.97034115486108	-0.409763904022183	0.681979147276189	0.76269507741911
ABCC9	182.365288346526	-0.393848358234791	0.681259821223635	-0.578117696017044	0.563184660499539	0.662557585542193
ABCD1	592.193686510377	-1.79797440796168	0.280479215064051	-6.41036594298473	1.45170755976525e-10	9.50148046310077e-10
